"observedProperty","4202","Humidity","s_h0","http://dbpedia.org/page/Relative_humidity"
"observedProperty","4200","Temperature","s_t0","http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#AreaTemperature"
"observedProperty","3499","PM2.5 Particulates","s_d0","https://en.wikipedia.org/wiki/Particulates"
"location","503399","VU-NW-5","VU-NW-5","application/vnd.geo+json","{""coordinates"":[-114.100165,51.053126],""type"":""Point""}"
"location","503343","VU-NW-4","VU-NW-4","application/vnd.geo+json","{""coordinates"":[-114.064433,51.109348],""type"":""Point""}"
"location","367110","VU-NW-3","VU-NW-3","application/vnd.geo+json","{""coordinates"":[-114.135771,51.16326],""type"":""Point""}"
"location","357690","VU-SW-3","VU-SW-3","application/vnd.geo+json","{""coordinates"":[-114.183533,51.037387],""type"":""Point""}"
"location","354821","VU-FNW-1","VU-FNW-1","application/vnd.geo+json","{""coordinates"":[-114.140001,51.208701],""type"":""Point""}"
"location","316593","VU-SE-2 #inactive","VU-SE-2 #inactive","application/vnd.geo+json","{""coordinates"":[-114.033878,50.901267],""type"":""Point""}"
"location","308215","VU-SW-2 #inactive","VU-SW-2 #inactive","application/vnd.geo+json","{""coordinates"":[-114.095999,50.907466],""type"":""Point""}"
"location","302487","VU-SW-1 #inactive","VU-SW-1 #inactive","application/vnd.geo+json","{""coordinates"":[-114.083163,51.037016],""type"":""Point""}"
"location","267118","VU-SE-1","VU-SE-1","application/vnd.geo+json","{""coordinates"":[-113.973302,50.92069],""type"":""Point""}"
"location","259560","VU-NW-2","VU-NW-2","application/vnd.geo+json","{""coordinates"":[-114.069408,51.074717],""type"":""Point""}"
"location","141008","VU-NW-1","VU-NW-1","application/vnd.geo+json","{""coordinates"":[[[-114.158953,51.086535],[-114.159935,51.086871],[-114.159907,51.086964],[-114.159917,51.087692],[-114.158796,51.087409],[-114.158953,51.086535]]],""type"":""Polygon""}"
"location","116528","SU-NW-1","SU-NW-1","application/vnd.geo+json","{""coordinates"":[-114.239528,51.134141],""type"":""Point""}"
"location","103132","SU-NW-4 #inactive","SU-NW-4 #inactive","application/vnd.geo+json","{""coordinates"":[-114.154805,51.128732],""type"":""Point""}"
"location","103064","SU-NW-3","SU-NW-3","application/vnd.geo+json","{""coordinates"":[-114.078305,51.059207],""type"":""Point""}"
"location","103059","SU-NW-2 #inactive","SU-NW-2 #inactive","application/vnd.geo+json","{""coordinates"":[-114.191938,51.130021],""type"":""Point""}"
"location","90299","620 7th Avenue SW, Calgary, Alberta #inactive","620 7th Avenue SW, Calgary, Alberta #inactive","application/vnd.geo+json","{""coordinates"":[-114.0731477,51.0471506],""type"":""Point""}"
"location","90295","49th Avenue & 15th Street SE, Calgary, Alberta #inactive","49th Avenue & 15th Street SE, Calgary, Alberta #inactive","application/vnd.geo+json","{""coordinates"":[-113.969742,50.955122],""type"":""Point""}"
"location","90288","39th Street & 29th Avenue NW, Calgary, Alberta #inactive","39th Street & 29th Avenue NW, Calgary, Alberta #inactive","application/vnd.geo+json","{""coordinates"":[-114.1452723,51.0801475],""type"":""Point""}"
"location","7745","SU-W-1 Balcony #inactive","SU-W-1 Balcony #inactive","application/vnd.geo+json","{""coordinates"":[-114.136,51.042],""type"":""Point""}"
"location","4235","SU-SW-2 Balcony #inactive","SU-SW-2 Balcony #inactive","application/vnd.geo+json","{""coordinates"":[-114.108,51.022],""type"":""Point""}"
"location","4230","SU-SW-1 Backyard #inactive","SU-SW-1 Backyard #inactive","application/vnd.geo+json","{""coordinates"":[-114.084,50.938],""type"":""Point""}"
"location","4225","SensorUp HQ #exclude","SensorUp HQ #exclude","application/vnd.geo+json","{""coordinates"":[-114.13,51.083],""type"":""Point""}"
"location","4220","Edgemont Ravine #inactive","Edgemont Ravine, more information can be found here: http://www.calgary.ca/CSPS/Parks/Pages/Locations/NW-parks/Edgemont-Ravine.aspx #inactive","application/vnd.geo+json","{""coordinates"":[[[-114.1544508934021,51.12912815830016],[-114.15423095226288,51.128842002065504],[-114.1539466381073,51.12865347463615],[-114.15365695953369,51.12875110500812],[-114.15385007858276,51.129000229849694],[-114.15423095226288,51.12919212239254],[-114.1544508934021,51.12912815830016]]],""type"":""Polygon""}"
"thing","11388512","NA","SensorUp AirQ:1D76B2 Device","{}"
"thing","8774755","SensorUp AirQ:1C51FD Device","SensorUp AirQ:1C51FD Device","{""displayName"":""Varsity #3""}","8773509;"
"thing","8668353","SensorUp AirQ:1D7602 Device","SensorUp AirQ:1D7602 Device","{""displayName"":""Springbank""}","8668535;"
"thing","8480299","SensorUp AirQ:1C5098 Device","SensorUp AirQ:1C5098 Device","{""displayName"":""Evergreen""}","8480396;"
"thing","6973329","SensorUp AirQ:1C53F0 Device","SensorUp AirQ:1C53F0 Device","{""displayName"":""SensorUp HQ 2""}","6973350;"
"thing","6603862","SensorUp AirQ:1C4A0B Device","SensorUp AirQ:1C4A0B Device","{""displayName"":""Canyon Meadows #4""}","6604000;"
"thing","6535140","SensorUp AirQ:1C4617 Device","SensorUp AirQ:1C4617 Device","{""displayName"":""Spruce Cliff #2""}","6535168;"
"thing","6346560","SensorUp AirQ:1C48BC Device","SensorUp AirQ:1C48BC Device","{""displayName"":""Marda Loop #2""}","6346678;"
"thing","5773912","SensorUp AirQ:1C4A7C Device","SensorUp AirQ:1C4A7C Device","{""displayName"":""Inglewood #2""}","5773878;"
"thing","3071913","SensorUp AirQ:1C566E Device","SensorUp AirQ:1C566E Device","{""displayName"":""Bridgeland""}","3072031;"
"thing","1520712","SensorUp AirQ:1C462D Device","SensorUp AirQ:1C462D Device","{""displayName"":""McKenzie Towne #4""}","1520749;"
"thing","1520297","SensorUp AirQ:1C4372 Device","SensorUp AirQ:1C4372 Device","{""displayName"":""Inglewood #1""}","1520409;"
"thing","529084","SensorUp AirQ:1C45CB Device","SensorUp AirQ:1C45CB Device","{""displayName"":""North Haven""}","529158;"
"thing","503311","SensorUp AirQ:1C46AE Device","SensorUp AirQ:1C46AE Device","{""displayName"":""McKenzie Towne #3""}","505402;"
"thing","503307","SensorUp AirQ:1C48A3 Device","SensorUp AirQ:1C48A3 Device","{""displayName"":""Oakridge""}","505328;"
"thing","503303","SensorUp AirQ:1C45EA Device","SensorUp AirQ:1C45EA Device","{""previousId"":""1C45D5"",""displayName"":""North Airways""}","505261;"
"thing","503299","SensorUp AirQ:1C4340 Device","SensorUp AirQ:1C4340 Device","{""displayName"":""Dalhousie""}","505187;"
"thing","503295","SensorUp AirQ:1C4614 Device","SensorUp AirQ:1C4614 Device","{""displayName"":""Banff Trail""}","505146;"
"thing","503291","SensorUp AirQ:1C4A67 Device","SensorUp AirQ:1C4A67 Device","{""displayName"":""Arbour Lake""}","505112;"
"thing","503287","SensorUp AirQ:1C46A7 Device","SensorUp AirQ:1C46A7 Device","{""displayName"":""Sunnyside #2""}","504972;"
"thing","503283","SensorUp AirQ:1C477D Device","SensorUp AirQ:1C477D Device","{""displayName"":""McKenzie Towne #2""}","504887;"
"thing","503279","SensorUp AirQ:1C43DE Device","SensorUp AirQ:1C43DE Device","{""displayName"":""Montgomery""}","504822;"
"thing","503275","SensorUp AirQ:1C464E Device","SensorUp AirQ:1C464E Device","{""displayName"":""Crescent Heights""}","504790;"
"thing","503271","SensorUp AirQ:1C478E Device","SensorUp AirQ:1C478E Device","{""displayName"":""Hawkwood #2""}","504714;"
"thing","503267","SensorUp AirQ:1C45BD Device","SensorUp AirQ:1C45BD Device","{""displayName"":""Canyon Meadows #3""}","505061;"
"thing","503263","SensorUp AirQ:1C45E8 Device","SensorUp AirQ:1C45E8 Device","{""displayName"":""Canyon Meadows #2""}","504537;"
"thing","503259","SensorUp AirQ:1C46B9 Device","SensorUp AirQ:1C46B9 Device","{""displayName"":""Signal Hill #2""}","504484;"
"thing","503255","SensorUp AirQ:1C45D6 Device","SensorUp AirQ:1C45D6 Device","{""displayName"":""Edgemont #3""}","504425;"
"thing","503251","SensorUp AirQ:1C4331 Device","SensorUp AirQ:1C4331 Device","{""displayName"":""Lake Bonavista""}","504367;"
"thing","503247","SensorUp AirQ:1C4697 Device","SensorUp AirQ:1C4697 Device","{""displayName"":""Edgemont #4""}","504326;"
"thing","503243","SensorUp AirQ:1C45F8 Device","SensorUp AirQ:1C45F8 Device","{""displayName"":""Hounsfield Heights\/Briar Hill #1""}","504264;"
"thing","503239","SensorUp AirQ:1C4372-L1 Device","SensorUp AirQ:1C4372-L1 Device","{""displayName"":""Hillhurst #3""}","504194;"
"thing","503235","SensorUp AirQ:1C566E-L1 Device","SensorUp AirQ:1C566E-L1 Device","{""displayName"":""Hillhurst #2""}","504127;"
"thing","503231","SensorUp AirQ:1C4418 Device","SensorUp AirQ:1C4418 Device","{""displayName"":""Silver Springs #2""}","504055;"
"thing","503227","SensorUp AirQ:1C458C Device","SensorUp AirQ:1C458C Device","{""displayName"":""Elboya""}","503994;"
